game_name_id,platform,esrb,singleplayer,multyplayer,coop,price,ign_rating,campaign_duration,is_popular,char_customization,world_size,world_diversity,graphics,period,modding,competitive,genre,type,optimization
PES 06,PS,everyone,50,50,50,95,90,100,50,40,10,80,45,2000s,0,50,sport,simulation,100
PES 06,XBOX,everyone,50,50,50,95,90,100,50,40,10,80,45,2000s,0,50,sport,simulation,100
PES 06,Nintendo,everyone,50,50,50,95,90,100,50,40,10,80,45,2000s,0,50,sport,simulation,100
PES 07,PC,everyone,50,50,50,95,90,100,0,45,10,83,48,2000s,50,50,sport,simulation,100
PES 07,PS,everyone,50,50,50,95,90,100,0,45,10,83,48,2000s,0,50,sport,simulation,100
PES 07,XBOX,everyone,50,50,50,95,90,100,0,45,10,83,48,2000s,0,50,sport,simulation,100
PES 07,Nintendo,everyone,50,50,50,95,90,100,0,45,10,83,48,2000s,0,50,sport,simulation,100
PES 20,PC,everyone,50,50,50,45,83,100,50,65,10,95,100,2010-sad,50,50,sport,simulation,84
PES 20,PS,everyone,50,50,50,45,83,100,50,65,10,95,100,2010-sad,0,50,sport,simulation,95
PES 20,XBOX,everyone,50,50,50,45,83,100,50,65,10,95,100,2010-sad,0,50,sport,simulation,95
PES 19,PC,everyone,50,50,50,72,82,100,0,65,10,90,98,2010-sad,50,50,sport,simulation,62
PES 19,PS,everyone,50,50,50,72,82,100,0,65,10,90,98,2010-sad,0,50,sport,simulation,90
PES 19,XBOX,everyone,50,50,50,72,82,100,0,65,10,90,98,2010-sad,0,50,sport,simulation,90
League of Legends,PC,teen,0,50,50,100,80,1,50,80,30,40,55,2010-sad,0,50,action,moba,87
Defense of the Ancients,PC,mature,0,50,0,100,88,1,0,20,35,30,25,90s,50,50,action,moba,100
Dota 2,PC,mature,0,50,50,100,94,1,50,75,40,35,65,2010-sad,0,50,action,moba,86
Smite,PC,teen,0,50,50,100,85,1,50,65,35,45,70,2010-sad,0,50,action,moba,83
Smite,PS,teen,0,50,50,100,85,1,50,65,35,45,70,2010-sad,0,50,action,moba,83
Smite,XBOX,teen,0,50,50,100,85,1,50,65,35,45,70,2010-sad,0,50,action,moba,83
Smite,Nintendo,teen,0,50,50,100,85,1,50,65,35,45,70,2010-sad,0,50,action,moba,83
Heroes of the Storm,PC,teen,0,50,50,100,65,1,50,60,30,30,60,2010-sad,0,50,action,moba,63
Heroes of Newerth,PC,teen,0,50,50,100,76,1,0,50,30,35,65,2010-sad,0,0,action,moba,100
Arena of Valor,Nintendo,teen,0,50,0,100,79,1,50,55,35,30,70,2010-sad,0,0,action,moba,85
Devil May Cry 5,PC,mature,50,50,50,55,95,60,50,65,62,70,90,2010-sad,50,0,adventure,hack_and_slash,84
Devil May Cry 5,PS,mature,50,50,50,60,95,60,50,65,62,70,90,2010-sad,0,0,adventure,hack_and_slash,81
Devil May Cry 5,XBOX,mature,50,50,50,60,95,60,50,65,62,70,90,2010-sad,0,0,adventure,hack_and_slash,68
Crash Team Racing Nitro-Fueled,PS,everyone,50,50,50,57,82,45,50,90,65,90,83,2010-sad,0,50,driving,simulation,93
Crash Team Racing Nitro-Fueled,Nintendo,everyone,50,50,50,57,82,45,50,90,65,90,83,2010-sad,0,50,driving,simulation,85
Crash Team Racing Nitro-Fueled,XBOX,everyone,50,50,50,57,82,45,50,90,65,90,83,2010-sad,0,50,driving,simulation,88
Red Dead Redemption 2,PC,mature,50,50,50,65,100,100,50,91,98,100,100,2010-sad,50,0,adventure,shooter,46
Red Dead Redemption 2,PS,mature,50,50,50,65,100,100,50,91,98,100,100,2010-sad,0,0,adventure,shooter,85
Red Dead Redemption 2,XBOX,mature,50,50,50,65,100,100,50,91,98,100,100,2010-sad,0,0,adventure,shooter,79
Spyro Reignited Trilogy,PC,everyone,50,0,0,45,85,90,50,1,75,85,77,2010-sad,0,0,adventure,platformer,93
Spyro Reignited Trilogy,PS,everyone,50,0,0,45,85,90,50,1,75,85,77,2010-sad,0,0,adventure,platformer,95
Spyro Reignited Trilogy,XBOX,everyone,50,0,0,45,85,90,50,1,75,85,77,2010-sad,0,0,adventure,platformer,90
Spyro Reignited Trilogy,Nintendo,everyone,50,0,0,45,85,90,50,1,75,85,77,2010-sad,0,0,adventure,platformer,93
The Legend of Zelda: Breath of the Wild,Nintendo,everyone,50,50,50,10,100,100,50,55,87,90,75,2010-sad,50,0,adventure,platformer,97
World of Warcraft Classic,PC,teen,0,50,50,70,91,1,50,100,100,100,40,2010-sad,50,50,action,rpg,86
Ratchet and Clank,PS,everyone,50,0,0,80,90,55,50,30,70,80,80,2010-sad,0,0,adventure,platformer,85
Uncharted 4: A Thief's End,PS,teen,50,50,0,80,90,66,50,15,73,95,90,2010-sad,0,0,adventure,shooter,88
Marvel's Spider-Man,PS,teen,50,0,0,60,87,78,50,80,90,96,95,2010-sad,0,0,adventure,hack_and_slash,95
Bloodborne,PS,mature,50,0,0,75,91,95,50,30,75,78,73,2010-sad,0,0,adventure,rpg,91
Farming Simulator 19,PC,everyone,50,50,50,53,74,100,0,25,82,79,84,2010-sad,50,0,driving,simulation,61
Farming Simulator 19,PS,everyone,50,50,50,53,74,100,0,25,82,79,84,2010-sad,0,0,driving,simulation,61
Farming Simulator 19,XBOX,everyone,50,50,50,53,74,100,0,25,82,79,84,2010-sad,0,0,driving,simulation,61
Farming Simulator 19,Nintendo,everyone,50,50,50,53,74,100,0,25,82,79,84,2010-sad,0,0,driving,simulation,61
Super Mario Odyssey,Nintendo,everyone,50,50,50,25,100,80,50,10,85,90,82,2010-sad,0,0,adventure,platformer,100
Horizon Zero Dawn,PS,teen,50,0,0,80,93,90,50,40,95,95,100,2010-sad,0,0,adventure,rpg,96
Mad Max,PC,mature,50,0,0,60,84,100,0,80,90,60,90,2010-sad,0,0,action,shooter,90
Mad Max,PS,mature,50,0,0,60,84,100,0,80,90,60,90,2010-sad,0,0,action,shooter,90
Mad Max,XBOX,mature,50,0,0,60,84,100,0,80,90,60,90,2010-sad,0,0,action,shooter,90
